Entry,EC number
A0A075F5C6,Not Available
A0A087WPF7,Not Available
A0A087WRK1,Not Available
A0A087WRT4,Not Available
A0A087WSP5,Not Available
A0A088MLT8,Not Available
A0A0A6YXJ2,Not Available
A0A0A6YXR0,2.7.8.1; 2.7.8.2; 2.7.8.22
A0A0A6YXU9,Not Available
A0A0B4J1F4,Not Available
A0A0B4J1G0,Not Available
A0A0B4J1N3,Not Available
A0A0G2JDV3,3.6.5.-
A0A0G2JGI9,2.4.1.25; 3.2.1.33
A0A0G2JGS4,2.7.11.17
A0A0R4IZW4,Not Available
A0A0R4IZW5,Not Available
A0A0R4J008,3.5.1.98
A0A0R4J049,2.1.1.320
A0A0R4J0A9,Not Available
A0A0R4J0B6,7.6.2.2
A0A0R4J0N8,Not Available
A0A0R4J104,Not Available
A0A0R4J136,1.3.1.22
A0A0R4J1M7,Not Available
A0A0R4J1Q7,Not Available
A0A0U1RNJ1,1.1.1.100; 1.3.1.39; 2.3.1.38; 2.3.1.39; 2.3.1.41; 2.3.1.85; 3.1.2.14; 4.2.1.59
A0A0U1RNR0,3.1.1.23; 3.1.1.79
A0A0U1RPR8,4.6.1.2
A0A140LHU0,Not Available
A0A140LI88,Not Available
A0A140LIF8,3.6.5.-
A0A142K3A7,Not Available
A0A1B0GRD7,Not Available
A0A1B0GRJ9,3.1.4.-
A0A1B0GSG2,Not Available
A0A1B0GT25,Not Available
A0A1B0GT49,Not Available
A0A1D5RLD8,1.2.1.12
A0A1D5RLZ5,3.1.1.32; 3.1.1.4; 3.1.1.5
A0A1D9BZF0,Not Available
A0A1L1SQU7,Not Available
A0A1L1SUI3,Not Available
A0A1L1SUV7,Not Available
A0A1L1SV42,Not Available
A0A1W2P872,Not Available
A0A1Y7VMN0,2.7.11.1
A0A1Y7VMP7,Not Available
A0A286YE25,5.6.1.1
A0A2R3XZC4,Not Available
A0A338P6S8,Not Available
A0A385KNU8,Not Available
A0A3B2WC92,5.6.1.1
A0A494B9E3,Not Available
A0A494B9X3,2.7.1.77; 3.1.3.5; 3.1.3.99
A0A494BA31,Not Available
A0A494BAW1,1.6.3.1
A0A494BBH5,Not Available
A0A494BBP6,2.7.1.77; 3.1.3.5; 3.1.3.99
A0A571BDN7,2.3.2.26
A0A571BG59,Not Available
A0A5F8MP90,Not Available
A0A5F8MPB9,Not Available
A0A5F8MPH8,Not Available
A0A5F8MPI9,Not Available
A0A5F8MPM8,Not Available
A0A5F8MPU3,Not Available
A0A5K7RLP0,Not Available
A0A654ICD2,Not Available
A0A6G6A824,3.1.3.16; 3.1.3.48; 3.1.3.67
A0A6G7SEK5,3.1.3.16; 3.1.3.48; 3.1.3.67
A0A6G7SF19,3.1.3.16; 3.1.3.48; 3.1.3.67
A0A7R8GUQ3,Not Available
A0A991B922,Not Available
A0JNT9,Not Available
A0JNU3,3.1.1.47; 3.1.1.5; 3.5.1.1
A1A546,Not Available
A1A547,Not Available
A1E960,Not Available
A1KXC4,Not Available
A1L314,Not Available
A1L338,Not Available
A1L3P4,Not Available
A1Y9I9,2.1.1.6
A1Z198,3.4.-.-
A2A259,Not Available
A2A432,Not Available
A2A5K6,Not Available
A2A5N8,Not Available
A2A5R2,Not Available
A2A5Z6,2.3.2.26
A2A6C4,3.4.23.-
A2A6Q5,Not Available
A2A7Q9,2.3.2.31
A2A813,3.5.1.124
A2A815,3.5.1.124
A2A825,Not Available
A2A848,1.3.3.6
A2A863,Not Available
A2A884,Not Available
A2A891,Not Available
A2A8L1,3.6.4.12
A2A8L5,3.1.3.48
A2A8U2,Not Available
A2A935,2.1.1.367
A2A974,1.14.14.1
A2A9A2,Not Available
A2A9C3,Not Available
A2A9F4,Not Available
A2AA28,2.1.1.319
A2AAE1,Not Available
A2AAJ9,2.7.11.1
A2AAY5,Not Available
A2ABV5,Not Available
A2AC93,Not Available
A2AD83,Not Available
A2AF47,Not Available
A2AG06,Not Available
A2AG68,7.2.2.8
A2AGH6,Not Available
A2AGL3,Not Available
A2AGT5,Not Available
A2AH22,Not Available
A2AHL1,Not Available
A2AI05,1.18.1.-
A2AI08,Not Available
A2AI21,Not Available
A2AIP0,Not Available
A2AIR5,Not Available
A2AIV2,Not Available
A2AIV8,Not Available
A2AIW0,Not Available
A2AJ15,3.2.1.113
A2AJ76,Not Available
A2AJ77,2.1.1.-
A2AJ88,3.1.1.-; 3.1.1.5
A2AJB7,Not Available
A2AJK6,3.6.4.12
A2AJN7,Not Available
A2AJX4,Not Available
A2AKK5,2.3.1.-
A2AKQ0,Not Available
A2AKX3,3.6.4.-
A2AL36,Not Available
A2ALS5,Not Available
A2ALU4,Not Available
A2ALV5,3.6.-.-
A2AM29,Not Available
A2AMM0,Not Available
A2AMT1,Not Available
A2AN08,2.3.2.27
A2ANU3,Not Available
A2AP18,3.1.4.11
A2APB8,Not Available
A2APC3,6.3.2.-
A2APF3,Not Available
A2APM2,Not Available
A2APX8,Not Available
A2AQ07,Not Available
A2AQ19,Not Available
A2AQ25,Not Available
A2AQ92,1.6.3.1
A2AQ99,1.6.3.1
A2AR95,Not Available
A2ARA8,Not Available
A2ARI4,Not Available
A2ARP1,2.7.4.24
A2ARP9,Not Available
A2ARV4,Not Available
A2AS55,Not Available
A2AS89,3.5.3.-; 3.5.3.1; 3.5.3.17; 3.5.3.7
A2ASI5,Not Available
A2ASQ1,Not Available
A2ASS6,2.7.11.1
A2ASZ8,Not Available
A2AT37,Not Available
A2AT91,3.1.4.11
A2AU37,Not Available
A2AU72,Not Available
A2AUC9,Not Available
A2AUM9,Not Available
A2AUU0,2.1.1.-
A2AVA0,Not Available
A2AVJ5,Not Available
A2AVZ9,Not Available
A2AWL7,Not Available
A2AWP0,2.3.2.27
A2AX52,Not Available
A2BDX3,2.7.7.80; 2.8.1.11
A2BH40,Not Available
A2CF88,1.13.11.12; 1.13.11.31; 1.13.11.33
A2CG49,2.7.11.1
A2CG63,Not Available
A2RSS9,Not Available
A2RST1,1.11.1.-; 2.5.1.18; 4.4.1.20
A2RSY6,2.1.1.-
A2RT67,Not Available
A2RTF1,Not Available
A3FIN4,7.6.2.1
A3KFM7,3.6.4.12
A3KFX0,3.1.3.5; 3.1.3.89; 3.1.3.99
A3KG59,3.4.13.4
A3KG93,1.14.99.66
A3KGF7,3.1.4.11
A3KGS3,Not Available
A3KGV1,Not Available
A3KMN0,Not Available
A4Q9E5,6.3.2.-
A4Q9E8,6.3.2.-
A4Q9F0,6.3.2.-
A4Q9F1,6.3.2.-
A4Q9F3,6.3.2.-
A4Q9F4,6.3.2.-
A4QPC6,Not Available
A4UUI3,3.6.5.-
A5D6P3,7.6.2.2; 7.6.2.3
A6H5Y3,2.1.1.13
A6H630,2.1.1.-; 3.1.3.-
A6H639,Not Available
A6H687,Not Available
A6H6A9,Not Available
A6H6E2,Not Available
A6H8H2,Not Available
A6H8H5,Not Available
A6X8Z5,Not Available
A6X935,Not Available
A7L9Z8,7.2.2.10
A7M7C7,Not Available
A7MCT6,2.7.1.82
A7RDN6,1.6.3.5
A7TZE6,Not Available
